protocol=4 seed=67 ops=10000
DET scan_inverted 0
DET scan_snapshot 1
DET delrange_empty ok
SCAN [key4291, key7368) key5834=>value38460
SCAN [key323, key9440) key3331=>value74242 key3436=>value32787 key3638=>value46563 key3787=>value73255 key388=>value8057 key4118=>value80796 key4125=>value23973 key4132=>value70682 key417=>value13950 key4254=>value25881 key4314=>value33055 key4318=>value60311 key4355=>value50951 key4378=>value56145 key4552=>value46035 key4743=>value62419 key4780=>value68525 key4793=>value22912 key4803=>value12556 key4805=>value62512 key4842=>value58962 key4844=>value74908 key4976=>value60100 key500=>value40865 key5061=>value17222 key5155=>value47158 key5168=>value92958 key5218=>value60148 key8848=>value99331 key9287=>value47879 key9372=>value77414 key9417=>value15509
SCAN [key1897, key4967) key1975=>value66544 key2000=>value44595 key2054=>value62706 key2063=>value93730 key2452=>value29526 key2469=>value43989 key2511=>value99265 key257=>value82046 key2626=>value25656 key2638=>value42532 key2728=>value79297 key2785=>value24879 key3032=>value81001 key3209=>value7347 key321=>value13109 key3331=>value74242 key3436=>value32787 key3638=>value46563 key3787=>value73255 key388=>value8057 key4118=>value80796 key4125=>value23973 key4132=>value70682 key417=>value13950 key4254=>value25881 key4314=>value33055 key4318=>value60311 key4355=>value50951 key4378=>value56145 key4552=>value46035 key4743=>value62419 key4780=>value68525 key4793=>value22912 key4803=>value12556 key4805=>value62512 key4842=>value58962 key4844=>value74908 key4920=>value41803
SCAN [key4049, key6785)
SCAN [key74, key9757) key7744=>value10191 key8848=>value99331 key9287=>value47879 key9372=>value77414 key9417=>value15509 key9498=>value5771 key9519=>value61506 key9583=>value71623
SCAN [key31, key7581) key3209=>value7347 key321=>value13109 key3931=>value5084 key4248=>value81944 key4518=>value8633 key4965=>value57934 key6452=>value5376 key7255=>value67029 key7293=>value76358 key7310=>value27749
SCAN [key8256, key889) key8529=>value28141 key8848=>value99331
SCAN [key6063, key7925) key6452=>value5376 key7255=>value67029 key7293=>value76358 key7310=>value27749 key7696=>value70809 key7744=>value10191
SCAN [key3951, key5964) key4248=>value81944 key4356=>value78792 key4518=>value8633 key4674=>value15344 key4965=>value57934 key5170=>value13252 key530=>value58676
SCAN [key1149, key8143) key1158=>value66133 key119=>value90810 key1247=>value895 key1286=>value93716 key1336=>value73337 key145=>value64062 key1493=>value61909 key1504=>value94302 key1564=>value76922 key1594=>value44656 key1658=>value72449 key1692=>value28343 key1751=>value31479 key1767=>value91209 key1975=>value66544 key2000=>value44595 key2034=>value47607 key2054=>value62706 key2063=>value93730 key2212=>value34729 key2281=>value13913 key2397=>value22632 key2452=>value29526 key2469=>value43989 key2508=>value82962 key2511=>value99265 key257=>value82046 key2626=>value25656 key2638=>value42532 key2728=>value79297 key2785=>value24879 key3032=>value81001 key3209=>value7347 key321=>value13109 key3288=>value12162 key3512=>value46932 key3931=>value5084 key4248=>value81944 key4356=>value78792 key4518=>value8633 key4674=>value15344 key4965=>value57934 key5170=>value13252 key530=>value58676 key5968=>value3639 key6248=>value46341 key6442=>value87138 key6452=>value5376 key7255=>value67029 key7293=>value76358 key7310=>value27749 key7329=>value7883 key7696=>value70809 key7744=>value10191 key7977=>value72912
SCAN [key1598, key3432) key1658=>value72449 key1692=>value28343 key1751=>value31479 key1767=>value91209 key1975=>value66544 key2000=>value44595 key2034=>value47607 key2054=>value62706 key2063=>value93730
SCAN [key2464, key9430) key4102=>value63114 key4308=>value86518 key4331=>value78347 key7747=>value54563 key8203=>value77838 key8312=>value12947 key8388=>value6198 key8529=>value28141 key8848=>value99331 key8936=>value59509 key8948=>value3479 key9003=>value27818 key9235=>value49061 key9287=>value47879 key9372=>value77414 key9417=>value15509
SCAN [key4971, key644) key5165=>value53425
SCAN [key2305, key4462) key4102=>value63114 key4308=>value86518 key4331=>value78347
SCAN [key1141, key6366) key1158=>value66133 key119=>value90810 key1213=>value42955 key1247=>value895 key1286=>value93716 key1336=>value73337 key145=>value64062 key1493=>value61909 key1504=>value94302 key1564=>value76922 key1594=>value44656 key1658=>value72449 key1692=>value28343 key1728=>value86457 key1749=>value62928 key1751=>value31479 key1767=>value91209 key1912=>value40283 key1975=>value66544 key2000=>value44595 key2034=>value47607 key2054=>value62706 key2063=>value93730 key2356=>value81829 key288=>value43820 key4102=>value63114 key4308=>value86518 key432=>value91734 key4331=>value78347 key4595=>value67362 key4639=>value8148 key4764=>value21708 key5165=>value53425
SCAN [key1039, key9939) key1090=>value55722 key1158=>value66133 key119=>value90810 key1213=>value42955 key1247=>value895 key1286=>value93716 key1336=>value73337 key145=>value64062 key1493=>value61909 key1504=>value94302 key1564=>value76922 key1594=>value44656 key1658=>value72449 key1692=>value28343 key1728=>value86457 key1749=>value62928 key1751=>value31479 key1767=>value91209 key1912=>value40283 key1975=>value66544 key2000=>value44595 key2034=>value47607 key2054=>value62706 key2063=>value93730 key2356=>value81829 key2681=>value89524 key288=>value43820 key4102=>value63114 key4308=>value86518 key432=>value91734 key4331=>value78347 key4595=>value67362 key4639=>value8148 key4764=>value21708 key5165=>value53425 key7477=>value81289 key750=>value13589 key7737=>value53661 key7747=>value54563 key8203=>value77838 key8266=>value22015 key8312=>value12947 key8388=>value6198 key8529=>value28141 key8848=>value99331 key8936=>value59509 key8948=>value3479 key9003=>value27818 key9235=>value49061 key9287=>value47879 key9372=>value77414 key9417=>value15509 key9498=>value5771 key9519=>value61506 key9583=>value71623 key976=>value67077 key9803=>value90505 key9934=>value38367
SCAN [key1208, key7405) key1213=>value42955 key1247=>value895 key1286=>value93716 key1336=>value73337 key145=>value64062 key1493=>value61909 key1504=>value94302 key1564=>value76922 key1594=>value44656 key1658=>value72449 key1692=>value28343 key1728=>value86457 key1749=>value62928 key1751=>value31479 key1767=>value91209 key1912=>value40283 key1975=>value66544 key2000=>value44595 key2034=>value47607 key2054=>value62706 key2063=>value93730 key2356=>value81829 key2681=>value89524 key288=>value43820 key3283=>value42805 key4102=>value63114 key4308=>value86518 key432=>value91734 key4331=>value78347 key4595=>value67362 key4639=>value8148 key4764=>value21708 key5165=>value53425
SCAN [key1303, key1318)
SCAN [key3465, key7865) key4102=>value63114 key4308=>value86518 key432=>value91734 key4331=>value78347 key4595=>value67362 key4639=>value8148 key4764=>value21708 key5165=>value53425 key5284=>value11576 key7477=>value81289 key750=>value13589 key7737=>value53661 key7747=>value54563
SCAN [key1829, key4101) key1912=>value40283 key1951=>value39403 key1975=>value66544 key2000=>value44595 key2034=>value47607 key2054=>value62706 key2063=>value93730 key2356=>value81829 key2681=>value89524 key288=>value43820 key3283=>value42805 key3318=>value90651
SCAN [key1705, key5184) key1728=>value86457 key1749=>value62928 key1751=>value31479 key1767=>value91209 key1810=>value2984 key1912=>value40283 key1947=>value22930 key1951=>value39403 key1974=>value6970 key1975=>value66544 key2000=>value44595 key2034=>value47607 key2054=>value62706 key2063=>value93730 key2117=>value40976 key2356=>value81829 key2681=>value89524 key288=>value43820 key3283=>value42805 key3318=>value90651 key3843=>value39639 key3859=>value79189 key4102=>value63114 key4178=>value52673 key4282=>value83689 key4308=>value86518 key432=>value91734 key4331=>value78347 key4595=>value67362 key4639=>value8148 key4764=>value21708 key5165=>value53425
SCAN [key2115, key9637) key2117=>value40976 key2356=>value81829 key2681=>value89524 key288=>value43820 key3283=>value42805 key3318=>value90651 key3843=>value39639 key3859=>value79189 key4102=>value63114 key4178=>value52673 key4282=>value83689 key4308=>value86518 key432=>value91734 key4331=>value78347 key4595=>value67362 key4639=>value8148 key4764=>value21708 key5165=>value53425 key5284=>value11576 key6623=>value47387 key6842=>value39309 key6850=>value76792 key6990=>value21877 key7237=>value82133 key7477=>value81289 key750=>value13589 key7737=>value53661 key7747=>value54563 key8172=>value36206 key8203=>value77838 key8266=>value22015 key8312=>value12947 key8388=>value6198 key8521=>value64354 key8529=>value28141 key8848=>value99331 key8936=>value59509 key8948=>value3479 key9003=>value27818 key9235=>value49061 key9287=>value47879 key9372=>value77414 key9417=>value15509 key9498=>value5771 key9519=>value61506 key9583=>value71623
SCAN [key3916, key8679) key4102=>value63114 key4178=>value52673 key4185=>value60468 key4282=>value83689 key4308=>value86518 key432=>value91734 key4331=>value78347 key4595=>value67362 key4639=>value8148 key4764=>value21708 key5165=>value53425 key5284=>value11576 key6623=>value47387 key6842=>value39309 key6850=>value76792 key6990=>value21877 key7237=>value82133 key7470=>value81071 key7477=>value81289 key750=>value13589 key7737=>value53661 key7747=>value54563 key8172=>value36206 key8203=>value77838 key8266=>value22015 key8312=>value12947 key8388=>value6198 key8521=>value64354 key8529=>value28141
SCAN [key1445, key7495) key145=>value64062 key1493=>value61909 key1504=>value94302 key1564=>value76922 key1594=>value44656 key1658=>value72449 key1692=>value28343 key1698=>value38954 key1728=>value86457 key1749=>value62928 key1751=>value31479 key1767=>value91209 key1810=>value2984 key1912=>value40283 key1947=>value22930 key1951=>value39403 key1974=>value6970 key1975=>value66544 key200=>value53717 key2000=>value44595 key2034=>value47607 key2054=>value62706 key2063=>value93730 key2117=>value40976 key2347=>value63879 key2356=>value81829 key2681=>value89524 key288=>value43820 key6650=>value25881
SCAN [key4744, key5850) key5160=>value70627
SCAN [key3777, key7764) key5160=>value70627 key5278=>value36364 key6650=>value25881 key728=>value39365 key7492=>value40978
SCAN [key1822, key517) key1912=>value40283 key1947=>value22930 key1951=>value39403 key1974=>value6970 key1975=>value66544 key200=>value53717 key2000=>value44595 key2034=>value47607 key2054=>value62706 key2063=>value93730 key2117=>value40976 key2347=>value63879 key2356=>value81829 key2681=>value89524 key288=>value43820 key5160=>value70627
SCAN [key4715, key5546) key499=>value97520 key5160=>value70627 key5278=>value36364
SCAN [key2709, key8895) key288=>value43820 key3471=>value97973 key499=>value97520 key5160=>value70627 key5278=>value36364 key535=>value28668 key5946=>value91980 key6650=>value25881 key6742=>value96963 key728=>value39365 key7442=>value85324 key7492=>value40978 key8172=>value36206 key8203=>value77838 key8266=>value22015 key8312=>value12947 key8388=>value6198 key8521=>value64354 key8529=>value28141 key8675=>value94567 key8848=>value99331 key8869=>value75068
SCAN [key5959, key9380) key638=>value15937 key6650=>value25881 key6742=>value96963 key728=>value39365 key7442=>value85324 key7492=>value40978 key8172=>value36206 key8203=>value77838 key8266=>value22015 key8312=>value12947 key8388=>value6198 key8521=>value64354 key8529=>value28141 key8675=>value94567 key8848=>value99331 key8869=>value75068 key8936=>value59509 key8948=>value3479 key9003=>value27818 key9195=>value24608 key9235=>value49061 key9287=>value47879 key9372=>value77414
SCAN [key3360, key9449) key3471=>value97973 key4687=>value30615 key499=>value97520 key5160=>value70627 key5278=>value36364 key535=>value28668 key5946=>value91980 key638=>value15937 key6650=>value25881 key6742=>value96963 key728=>value39365 key7442=>value85324 key7492=>value40978 key750=>value26913 key8172=>value36206 key8203=>value77838 key8266=>value22015 key8312=>value12947 key8388=>value6198 key8521=>value64354 key8529=>value28141 key8675=>value94567 key8848=>value99331 key8869=>value75068 key8936=>value59509 key8948=>value3479 key9003=>value27818 key9195=>value24608 key9235=>value49061 key9240=>value61206 key9287=>value47879 key9372=>value77414 key9392=>value85055 key9417=>value15509
SCAN [key6473, key9932) key6650=>value25881 key6742=>value96963 key728=>value39365 key7442=>value85324 key7492=>value40978 key750=>value26913 key7641=>value25239 key7721=>value39859 key8172=>value36206 key8203=>value77838 key8266=>value22015 key8312=>value12947 key8388=>value6198 key8521=>value64354 key8529=>value28141 key8675=>value94567 key8848=>value99331 key8869=>value75068 key8936=>value59509 key8948=>value3479 key9003=>value27818 key9195=>value24608 key9235=>value49061 key9240=>value61206 key9287=>value47879 key9371=>value98046 key9372=>value77414 key9392=>value85055 key9417=>value15509 key9498=>value5771 key9514=>value23480 key9519=>value61506 key9583=>value71623 key9585=>value15250 key9714=>value26051 key976=>value67077 key9803=>value90505 key9931=>value14948
SCAN [key3892, key5953)
SCAN [key2451, key6100) key3001=>value91614 key3120=>value97574 key3387=>value42763 key3602=>value97631 key5830=>value76536 key6035=>value27998
SCAN [key2681, key9983) key4557=>value3110 key6259=>value48955 key9971=>value66283
SCAN [key5006, key5401)
SCAN [key3111, key7009) key4557=>value3110 key4663=>value34531 key5200=>value10727 key6259=>value48955
SCAN [key4158, key7475) key4557=>value3110 key4663=>value34531 key5200=>value10727 key6259=>value48955 key690=>value91797
SCAN [key4398, key5510) key4557=>value3110 key4663=>value34531 key5200=>value10727
SCAN [key133, key3118) key1336=>value73337 key1589=>value28029 key1859=>value87599 key2371=>value21817 key2425=>value24583
SCAN [key2301, key9113) key2371=>value21817 key2425=>value24583 key3077=>value2363 key425=>value55492 key4466=>value88638 key4557=>value3110 key4663=>value34531
SCAN [key5765, key8454)
SCAN [key2724, key5899) key3077=>value2363 key3453=>value56611 key3525=>value155 key425=>value55492
SCAN [key3059, key6821) key3077=>value2363 key3453=>value56611 key3525=>value155 key425=>value55492
SCAN [key1352, key7176) key1547=>value64185 key1589=>value28029 key1634=>value99730 key1859=>value87599 key2371=>value21817 key2425=>value24583 key248=>value66355 key2959=>value66428 key3077=>value2363 key3157=>value22396 key3326=>value4926 key3453=>value56611 key3525=>value155 key4238=>value32811 key425=>value55492 key4806=>value67294 key5886=>value63806
SCAN [key3377, key3839)
SCAN [key4395, key5258)
SCAN [key7792, key9973) key8324=>value27262 key8344=>value2598 key876=>value14558 key9565=>value76982 key9647=>value15185 key9810=>value17811 key9823=>value49860 key9971=>value66283
SCAN [key2051, key8581) key5290=>value57924 key6266=>value19558 key6390=>value85200 key7549=>value72260 key8324=>value27262 key8344=>value2598
SCAN [key1911, key6328) key2769=>value10855 key5290=>value57924 key6266=>value19558
SCAN [key3197, key5464) key5290=>value57924
SCAN [key2296, key3636) key2769=>value10855
SCAN [key4240, key6236) key5290=>value57924
SCAN [key2302, key2709)
SCAN [key1709, key1909)
SCAN [key5910, key9698) key6012=>value53031 key6266=>value19558 key6390=>value85200 key6471=>value83093 key6851=>value66348 key6854=>value93239 key8090=>value29326 key899=>value5660
SCAN [key6528, key6929) key6851=>value66348 key6854=>value93239
SCAN [key2060, key3744) key2466=>value57758 key2766=>value15260 key2769=>value10855 key3537=>value31207
SCAN [key8153, key8643)
SCAN [key206, key6469) key2466=>value57758 key2766=>value15260 key2769=>value10855 key2884=>value67549 key3537=>value31207 key4119=>value20237 key4350=>value62262 key4441=>value65353 key4645=>value22244 key5290=>value57924 key5450=>value38090 key5700=>value42264 key6012=>value53031 key6266=>value19558 key6390=>value85200
SCAN [key3500, key4574) key3537=>value31207 key387=>value57700 key4119=>value20237 key4135=>value43294 key4350=>value62262 key4441=>value65353
SCAN [key5425, key6037) key5450=>value38090 key5700=>value42264 key6012=>value53031
SCAN [key143, key7824) key1689=>value49543 key2249=>value55930 key2466=>value57758 key2687=>value77148 key2766=>value15260 key2769=>value10855 key2884=>value67549 key3537=>value31207 key387=>value57700 key4119=>value20237 key4135=>value43294 key4350=>value62262 key4402=>value59320 key4441=>value65353 key4645=>value22244 key4805=>value55870 key5290=>value57924 key5450=>value38090 key5700=>value42264 key6012=>value53031 key6266=>value19558 key7221=>value22328
SCAN [key6218, key8397) key6266=>value19558 key7221=>value22328
SCAN [key1286, key5892) key1689=>value49543 key2249=>value55930 key2466=>value57758 key2687=>value77148 key2766=>value15260 key2769=>value10855 key2884=>value67549 key3537=>value31207 key387=>value57700 key4119=>value20237 key4135=>value43294 key4350=>value62262 key4402=>value59320 key4441=>value65353 key4645=>value22244 key4805=>value55870 key5069=>value88655 key5290=>value57924 key540=>value56716 key5450=>value38090 key5700=>value42264
SCAN [key2673, key9061) key2687=>value77148 key2766=>value15260 key2769=>value10855 key2884=>value67549 key3537=>value31207 key387=>value57700 key4119=>value20237 key4135=>value43294 key4350=>value62262 key4402=>value59320 key4441=>value65353 key4645=>value22244 key4805=>value55870 key5069=>value88655 key5290=>value57924 key540=>value56716 key5450=>value38090 key570=>value43219 key5700=>value42264 key6012=>value53031 key6266=>value19558 key7221=>value22328 key8138=>value65266 key869=>value48641 key8698=>value53015
SCAN [key3937, key9132) key4119=>value20237 key4135=>value43294 key4350=>value62262 key4402=>value59320 key4441=>value65353 key4645=>value22244 key4805=>value55870 key5069=>value88655 key5290=>value57924 key540=>value56716 key5450=>value38090 key570=>value43219 key5700=>value42264 key6012=>value53031 key6266=>value19558 key7221=>value22328 key8138=>value65266 key869=>value48641 key8698=>value53015
SCAN [key3360, key783) key3537=>value31207 key3728=>value61585 key387=>value57700 key4119=>value20237 key4135=>value43294 key4350=>value62262 key4402=>value59320 key4441=>value65353 key4645=>value22244 key4805=>value55870 key5069=>value88655 key5290=>value57924 key540=>value56716 key5450=>value38090 key570=>value43219 key5700=>value42264 key5715=>value41710 key581=>value63988 key5869=>value56740 key6012=>value53031 key6130=>value26449 key6266=>value19558 key6336=>value42317 key6447=>value68509 key7221=>value22328
SCAN [key9715, key9993) key9957=>value19568
SCAN [key1979, key9529) key2073=>value79534 key2249=>value55930 key2466=>value57758 key2483=>value42803 key2687=>value77148 key2766=>value15260 key2769=>value10855 key2884=>value67549 key2894=>value79700 key3211=>value42365 key3537=>value31207 key3571=>value2925 key7651=>value28127 key9421=>value22570
SCAN [key1748, key5602) key2607=>value59474
SCAN [key40, key5288) key4110=>value70077
SCAN [key4052, key4156) key4110=>value70077
SCAN [key1741, key4320) key2449=>value30854 key2607=>value59474
SCAN [key1375, key497) key1560=>value65707
SCAN [key2801, key5924) key3516=>value20920 key3738=>value79623 key3802=>value10214
SCAN [key1060, key5126) key1060=>value23450 key1090=>value55722 key1140=>value79528 key1158=>value66133 key118=>value66973 key119=>value90810 key1213=>value42955 key1380=>value82785 key1560=>value65707 key3516=>value20920 key3677=>value57785 key3738=>value79623 key3802=>value10214
SCAN [key8002, key9206) key8730=>value67330 key892=>value22734
SCAN [key1562, key7571) key1699=>value40866 key1960=>value77603 key2637=>value92940 key3516=>value20920 key3677=>value57785 key3738=>value79623 key3802=>value10214 key4420=>value51981 key4661=>value27508
SCAN [key4039, key991) key4420=>value51981 key4661=>value27508 key5116=>value62565 key5525=>value63699 key5734=>value95299 key6221=>value71637 key652=>value32323 key7597=>value5751 key7847=>value85386 key7928=>value6024 key8394=>value49185 key8408=>value3980 key8769=>value95708 key9206=>value76321 key9388=>value96705 key9421=>value22570
SCAN [key6749, key8357) key6774=>value39402 key735=>value92446 key7928=>value6024
SCAN [key2979, key607) key3466=>value97843 key3516=>value20920 key3523=>value64261 key3677=>value57785 key3738=>value79623 key3802=>value10214 key4049=>value15461 key4420=>value51981 key4643=>value76584 key4661=>value27508 key4700=>value448 key4894=>value37135 key4939=>value88757 key5116=>value62565 key5352=>value68245 key5493=>value77501 key5525=>value63699
SCAN [key6466, key8269)
SCAN [key1599, key2565)
SCAN [key5256, key6376) key5429=>value84877
SCAN [key3201, key804) key3507=>value59489 key3984=>value34111 key4009=>value33141 key4968=>value6475 key54=>value47229 key5429=>value84877 key6566=>value9002 key7207=>value88475 key7693=>value57161
SCAN [key5097, key9331) key5182=>value68747 key54=>value47229 key5429=>value84877 key602=>value34241 key6131=>value62096 key6566=>value9002 key7207=>value88475 key7305=>value96674 key7693=>value57161 key7831=>value82995 key812=>value57606 key8431=>value70916
SCAN [key2451, key5709) key2999=>value84015 key3033=>value36051 key3249=>value73936 key3333=>value79994 key3507=>value59489 key3984=>value34111 key4009=>value33141 key4381=>value89959 key4807=>value44174 key4968=>value6475 key5182=>value68747 key54=>value47229 key5429=>value84877
SCAN [key3247, key9406) key812=>value57606 key8431=>value70916
SCAN [key547, key6523)
SCAN [key7596, key8482) key812=>value57606 key820=>value83692 key8431=>value70916
SCAN [key2720, key6632) key3914=>value82174 key5235=>value39611 key5681=>value34723
SCAN [key1334, key2814) key153=>value76012 key2458=>value94509
SCAN [key1798, key8460) key2458=>value94509 key3484=>value42952 key3914=>value82174 key5235=>value39611 key5445=>value76621 key5586=>value48007 key5681=>value34723 key5851=>value96380
SCAN [key3511, key3599)
SCAN [key6425, key9855) key7607=>value96665 key9434=>value3455 key9470=>value67032 key959=>value91541 key9628=>value35898 key9721=>value76988 key9757=>value90689 key9768=>value96242
SCAN [key1574, key750) key2191=>value27585 key282=>value6671 key3305=>value3962
SCAN [key7072, key7500)
SCAN [key9548, key9550)
SCAN [key2403, key2924) key282=>value6671 key2889=>value65215
SCAN [key4394, key6226) key5349=>value8658 key5350=>value14548 key6176=>value33476
SCAN [key1097, key93) key2061=>value985 key2307=>value59362 key245=>value45949 key2598=>value94999 key2663=>value93856 key2958=>value37978 key3065=>value87512 key3252=>value96664 key3305=>value3962 key3638=>value28946 key3709=>value37123 key3823=>value81854 key3976=>value66851 key40=>value99232 key4044=>value46453 key5349=>value8658 key5350=>value14548 key543=>value50713 key6176=>value33476 key6457=>value4060 key6664=>value12620 key8101=>value59157 key8245=>value13817 key8348=>value7008 key8484=>value70620 key8511=>value88272 key8918=>value17821 key917=>value90117 key9246=>value89464
SCAN [key5919, key5957)
SCAN [key606, key6166)
SCAN [key6108, key794)
SCAN [key3805, key8154) key403=>value6127 key4496=>value79797 key471=>value31698 key5093=>value41335 key5629=>value52643 key6891=>value92287 key7035=>value63299 key730=>value31935
SCAN [key3386, key6859) key3486=>value30265 key3698=>value6846 key3702=>value61719 key403=>value6127 key4433=>value41729 key4496=>value79797 key471=>value31698 key5093=>value41335 key5629=>value52643
SCAN [key7774, key8882) key8159=>value92668 key8496=>value66130 key8715=>value39755 key8777=>value19637 key8784=>value39583
SCAN [key1342, key198) key1940=>value97642
SCAN [key9796, key9926) key9882=>value28811
SCAN [key4635, key8949) key471=>value31698 key5093=>value41335 key5478=>value93651 key5629=>value52643 key6395=>value41757 key6891=>value92287 key7035=>value63299 key730=>value31935 key8159=>value92668 key8496=>value66130 key8715=>value39755 key8777=>value19637 key8784=>value39583
SCAN [key1610, key1918)
SCAN [key5240, key5245)
SCAN [key3467, key6107) key3486=>value30265 key3698=>value6846 key3702=>value61719 key3822=>value89668 key3970=>value92070 key403=>value6127 key4433=>value41729 key4496=>value79797 key471=>value31698 key4827=>value74046 key5048=>value89406 key5093=>value41335 key5478=>value93651 key5629=>value52643
SCAN [key2654, key9787) key2683=>value33557 key2727=>value42972 key3486=>value30265 key3698=>value6846 key3702=>value61719 key3822=>value89668 key3970=>value92070 key403=>value6127 key4433=>value41729 key4496=>value79797 key471=>value31698 key4827=>value74046 key5048=>value89406 key5093=>value41335 key5478=>value93651 key5629=>value52643 key6395=>value41757 key6800=>value59924 key6891=>value92287 key7035=>value63299 key7102=>value80930 key730=>value31935 key7302=>value63534 key7814=>value38674 key8056=>value41370 key8159=>value92668 key8496=>value66130 key8715=>value39755 key8777=>value19637 key8784=>value39583 key8873=>value25244 key94=>value38301 key9686=>value39067 key9724=>value56727
SCAN [key5884, key7187) key6395=>value41757 key6800=>value59924 key6891=>value92287 key7035=>value63299 key7102=>value80930
SCAN [key5233, key6332)
SCAN [key4036, key5350) key4942=>value22563
SCAN [key9682, key9705) key9686=>value39067
SCAN [key4169, key9830) key4640=>value63824 key4677=>value71448 key4942=>value22563 key5107=>value62100 key6395=>value41757 key6800=>value59924 key6891=>value92287 key7035=>value63299 key7102=>value80930 key730=>value31935 key7302=>value63534 key7814=>value38674 key8056=>value41370 key8159=>value92668 key8165=>value11157 key8409=>value61570 key8462=>value62799 key8496=>value66130 key8715=>value39755 key8748=>value72592 key8777=>value19637 key8784=>value39583 key8873=>value25244 key8997=>value35739 key9056=>value98580 key9080=>value41421 key94=>value38301 key9686=>value39067 key9724=>value56727
